2026-08-28 22:43:00,960 | INFO | main | ==================================================
2026-08-28 22:43:00,961 | INFO | main | UniversalUpscaler
2026-08-28 22:43:00,961 | INFO | main | Version: 0.1.0
2026-08-28 22:43:00,961 | INFO | main | Initializing...
2026-08-28 22:43:00,961 | INFO | main | Requested capture backend mode: Wgc
2026-08-28 22:43:00,961 | INFO | main | Requested upscaling method: Bilinear
2026-08-28 22:43:00,961 | INFO | main | Requested processing backend: OpenCV CPU
2026-08-28 22:43:00,961 | INFO | main | Requested frame processor: SHADER
2026-08-28 22:43:00,961 | INFO | main | Requested runtime pipeline: CPU
2026-08-28 22:43:00,962 | INFO | main | Preview enabled: True
2026-08-28 22:43:00,962 | INFO | main | ==================================================
2026-08-28 22:43:00,963 | INFO | main | Selected window: Subnautica Below Zero (HWND 721580), client area 1280x720 at 320,194
2026-08-28 22:43:00,975 | INFO | capture_manager | WGC support: available (Native Windows.Graphics.Capture and D3D11 APIs are present.)
2026-08-28 22:43:01,035 | INFO | wgc_capture | WGC initialized for HWND 721580 at 1282x759
2026-08-28 22:43:01,084 | INFO | wgc_capture | WGC acquired first frame at 1282x759
2026-08-28 22:43:01,086 | INFO | capture_manager | Selected capture backend: Windows Graphics Capture
2026-08-28 22:43:01,086 | INFO | main | Active capture backend: WGC
2026-08-28 22:43:01,174 | INFO | main | Available processing backends: OpenCV CPU, PyTorch CUDA
2026-08-28 22:43:01,176 | INFO | main | Loaded processing backend from runtime profile: OpenCV CPU
2026-08-28 22:43:01,179 | INFO | main | Saved runtime profile to C:\Users\ruthr\Documents\Codex\2026-08-28\welcome-bnr-i-m-claude-bring\outputs\URFTS-Fixed\configs\runtime_profile.json
2026-08-28 22:43:01,179 | INFO | main | Active processing backend: OpenCV CPU
2026-08-28 22:43:01,189 | INFO | main | Loaded runtime profile from C:\Users\ruthr\Documents\Codex\2026-08-28\welcome-bnr-i-m-claude-bring\outputs\URFTS-Fixed\configs\runtime_profile.json
2026-08-28 22:43:01,189 | INFO | main | Active OpenCV threads: 8
2026-08-28 22:43:01,191 | INFO | main | Press Q to quit the preview.
2026-08-28 22:43:01,191 | INFO | main | ==================================================
2026-08-28 22:43:01,191 | INFO | main | Active frame processor: OpenCV CPU
2026-08-28 22:43:02,404 | INFO | main | Active frame generation: RIFE (DmlExecutionProvider, CPUExecutionProvider)
2026-08-28 22:43:02,414 | INFO | wgc_capture | WGC capture closed for HWND 721580
2026-08-28 22:43:07,436 | INFO | capture_manager | WGC support: available (Native Windows.Graphics.Capture and D3D11 APIs are present.)
2026-08-28 22:43:07,481 | INFO | wgc_capture | WGC initialized for HWND 721580 at 1282x759
2026-08-28 22:43:07,496 | INFO | wgc_capture | WGC acquired first frame at 1282x759
2026-08-28 22:43:07,496 | INFO | capture_manager | Selected capture backend: Windows Graphics Capture
2026-08-28 22:43:08,605 | INFO | main | Performance (last 1 frames): average FPS 0.00, median frame 51.72 ms, p95 frame 51.72 ms, dropped frames 27, pacing error 0.01 ms, scheduled 1208.684402, actual 1208.684414, late 0, generated-late drops 3, real-late drops 4, source 10.57 FPS, presentation 0.00 FPS, state running, retries 0, recoveries 0, recovery failures 0, fallbacks 0.
2026-08-28 22:43:08,648 | INFO | wgc_capture | WGC capture closed for HWND 721580
2026-08-28 22:43:08,692 | ERROR | ui.controller | GUI runtime failed
Traceback (most recent call last):
  File "C:\Users\ruthr\Documents\Codex\2026-08-28\welcome-bnr-i-m-claude-bring\outputs\URFTS-Fixed\src\main.py", line 1284, in run_application
    cv2.namedWindow(preview_title, cv2.WINDOW_NORMAL)
cv2.error: OpenCV(4.13.0) D:\a\opencv-python\opencv-python\opencv\modules\highgui\src\window.cpp:1284: error: (-2:Unspecified error) The function is not implemented. Rebuild the library with Windows, GTK+ 2.x or Cocoa support. If you are on Ubuntu or Debian, install libgtk2.0-dev and pkg-config, then re-run cmake or configure script in function 'cvNamedWindow'


During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "C:\Users\ruthr\Documents\Codex\2026-08-28\welcome-bnr-i-m-claude-bring\outputs\URFTS-Fixed\src\ui\controller.py", line 191, in run
    self.engine_runner(
